
         540712248 function calls (540708138 primitive calls) in 379.315 seconds

   Ordered by: call count

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      128    0.000    0.000    0.000    0.000 /Users/ganesh/Library/Python/3.7/lib/python/site-packages/pandas/core/indexes/base.py:4486(<genexpr>)
      127    0.000    0.000    0.000    0.000 /Users/ganesh/Library/Python/3.7/lib/python/site-packages/pandas/core/generic.py:5449(__getattr__)
  127/100    0.002    0.000    0.042    0.000 /Users/ganesh/Library/Python/3.7/lib/python/site-packages/pandas/core/series.py:238(__init__)
      127    0.000    0.000    0.001    0.000 /Users/ganesh/Library/Python/3.7/lib/python/site-packages/pandas/core/series.py:439(_set_axis)
      126    0.000    0.000    0.000    0.000 /Users/ganesh/Library/Python/3.7/lib/python/site-packages/pandas/core/internals/managers.py:1847(<lambda>)
      125    0.000    0.000    0.000    0.000 {pandas._libs.algos.ensure_int64}
      122    0.001    0.000    0.019    0.000 /Users/ganesh/Library/Python/3.7/lib/python/site-packages/pandas/core/dtypes/missing.py:619(isna_all)
      122    0.001    0.000    0.004    0.000 /Users/ganesh/Library/Python/3.7/lib/python/site-packages/pandas/core/algorithms.py:1534(_get_take_nd_function)
      122    0.005    0.000    0.214    0.002 /Users/ganesh/Library/Python/3.7/lib/python/site-packages/pandas/core/algorithms.py:1661(take_nd)
      122    0.001    0.000    0.004    0.000 /Users/ganesh/Library/Python/3.7/lib/python/site-packages/pandas/core/dtypes/cast.py:542(maybe_promote)
      122    0.000    0.000    0.001    0.000 /Users/ganesh/Library/Python/3.7/lib/python/site-packages/pandas/core/dtypes/cast.py:698(_ensure_dtype_type)
      120    0.019    0.000    0.019    0.000 {method 'extend' of 'list' objects}
      115    0.000    0.000    0.185    0.002 /Users/ganesh/Library/Python/3.7/lib/python/site-packages/pandas/core/generic.py:5522(_protect_consolidate)
      115    0.000    0.000    0.164    0.001 /Users/ganesh/Library/Python/3.7/lib/python/site-packages/pandas/core/internals/managers.py:975(consolidate)
      114    0.001    0.000    0.007    0.000 /Users/ganesh/Library/Python/3.7/lib/python/site-packages/pandas/core/indexes/base.py:4393(equals)
      114    0.000    0.000    0.000    0.000 /Applications/Xcode.app/Contents/Developer/Library/Frameworks/Python3.framework/Versions/3.7/lib/python3.7/xml/etree/ElementTree.py:1559(_default)
      113    0.000    0.000    0.000    0.000 {built-in method pandas._libs.missing.checknull}
      112    0.000    0.000    0.184    0.002 /Users/ganesh/Library/Python/3.7/lib/python/site-packages/pandas/core/generic.py:5538(f)
      112    0.000    0.000    0.185    0.002 /Users/ganesh/Library/Python/3.7/lib/python/site-packages/pandas/core/generic.py:5534(_consolidate_inplace)
      112    0.000    0.000    0.000    0.000 /Users/ganesh/Library/Python/3.7/lib/python/site-packages/pandas/core/internals/concat.py:504(<genexpr>)
      111    0.000    0.000    0.001    0.000 /Users/ganesh/Library/Python/3.7/lib/python/site-packages/pandas/core/internals/managers.py:681(is_consolidated)
      110    0.001    0.000    0.002    0.000 /Users/ganesh/Library/Python/3.7/lib/python/site-packages/pandas/core/dtypes/cast.py:1617(construct_1d_object_array_from_listlike)
      110    0.000    0.000    0.001    0.000 /Users/ganesh/Library/Python/3.7/lib/python/site-packages/pandas/core/indexes/base.py:5969(_maybe_cast_with_dtype)
      110    0.000    0.000    0.003    0.000 /Users/ganesh/Library/Python/3.7/lib/python/site-packages/pandas/core/indexes/base.py:6023(_maybe_cast_data_without_dtype)
      110    0.000    0.000    0.002    0.000 /Users/ganesh/Library/Python/3.7/lib/python/site-packages/pandas/core/internals/managers.py:150(from_blocks)
      110    0.001    0.000    0.001    0.000 /Users/ganesh/Library/Python/3.7/lib/python/site-packages/pandas/io/formats/csvs.py:170(data_index)
      108    0.000    0.000    0.000    0.000 {pandas._libs.lib.array_equivalent_object}
      108    0.000    0.000    0.005    0.000 /Users/ganesh/Library/Python/3.7/lib/python/site-packages/pandas/core/dtypes/missing.py:367(array_equivalent)
      108    0.000    0.000    0.001    0.000 /Users/ganesh/Library/Python/3.7/lib/python/site-packages/pandas/core/dtypes/missing.py:465(_array_equivalent_object)
      107    0.000    0.000    0.000    0.000 /Users/ganesh/Library/Python/3.7/lib/python/site-packages/pandas/core/internals/blocks.py:2161(_holder)
      107    0.000    0.000    0.001    0.000 /Users/ganesh/Library/Python/3.7/lib/python/site-packages/pandas/core/internals/blocks.py:2182(array_values)
      107    0.000    0.000    0.000    0.000 /Users/ganesh/Library/Python/3.7/lib/python/site-packages/pandas/io/formats/csvs.py:96(index)
      106    0.000    0.000    0.000    0.000 /Users/ganesh/Library/Python/3.7/lib/python/site-packages/pandas/core/indexes/base.py:381(<genexpr>)
      104    0.000    0.000    0.000    0.000 /Users/ganesh/Library/Python/3.7/lib/python/site-packages/pandas/core/indexes/base.py:606(__array__)
      104    0.001    0.000    0.789    0.008 /Users/ganesh/Library/Python/3.7/lib/python/site-packages/pandas/core/indexes/base.py:1041(_format_native_types)
      104    0.000    0.000    0.001    0.000 /Users/ganesh/Library/Python/3.7/lib/python/site-packages/pandas/core/indexes/base.py:1963(is_object)
      104    0.000    0.000    0.000    0.000 /Users/ganesh/Library/Python/3.7/lib/python/site-packages/pandas/core/internals/managers.py:405(<dictcomp>)
      104    0.013    0.000    4.306    0.041 /Users/ganesh/Library/Python/3.7/lib/python/site-packages/pandas/core/internals/managers.py:376(apply)
      104    0.001    0.000    0.002    0.000 /Users/ganesh/Library/Python/3.7/lib/python/site-packages/pandas/core/internals/concat.py:190(needs_filling)
      104    0.000    0.000    0.002    0.000 /Users/ganesh/Library/Python/3.7/lib/python/site-packages/pandas/core/internals/concat.py:199(dtype)
      104    0.001    0.000    0.071    0.001 /Users/ganesh/Library/Python/3.7/lib/python/site-packages/pandas/core/internals/concat.py:231(get_reindexed_values)
      104    0.001    0.000    0.005    0.000 /Users/ganesh/Library/Python/3.7/lib/python/site-packages/pandas/core/internals/concat.py:451(_select_upcast_cls_from_dtype)
      104    0.000    0.000    0.023    0.000 /Users/ganesh/Library/Python/3.7/lib/python/site-packages/pandas/core/internals/concat.py:476(_is_uniform_join_units)
      101    0.000    0.000    0.000    0.000 {built-in method builtins.id}
      101    2.263    0.022    2.271    0.022 {pandas._libs.tslib.format_array_from_datetime}
      101    0.002    0.000    2.317    0.023 /Users/ganesh/Library/Python/3.7/lib/python/site-packages/pandas/core/arrays/datetimes.py:615(_format_native_types)
      101    0.001    0.000    0.001    0.000 /Users/ganesh/Library/Python/3.7/lib/python/site-packages/pandas/core/arrays/_mixins.py:128(ravel)
      101    0.000    0.000    0.001    0.000 /Users/ganesh/Library/Python/3.7/lib/python/site-packages/pandas/core/indexes/base.py:3314(_validate_positional_slice)
      101    0.001    0.000    0.015    0.000 /Users/ganesh/Library/Python/3.7/lib/python/site-packages/pandas/core/generic.py:3803(_slice)
      101    0.000    0.000    0.000    0.000 /Users/ganesh/Library/Python/3.7/lib/python/site-packages/pandas/core/generic.py:3834(_set_is_copy)
      101    0.001    0.000    0.019    0.000 /Users/ganesh/Library/Python/3.7/lib/python/site-packages/pandas/core/indexing.py:882(__getitem__)
      101    0.000    0.000    0.000    0.000 /Users/ganesh/Library/Python/3.7/lib/python/site-packages/pandas/core/indexing.py:103(iloc)
      101    0.000    0.000    0.018    0.000 /Users/ganesh/Library/Python/3.7/lib/python/site-packages/pandas/core/indexing.py:1479(_getitem_axis)
      101    0.001    0.000    0.018    0.000 /Users/ganesh/Library/Python/3.7/lib/python/site-packages/pandas/core/indexing.py:1505(_get_slice_axis)
      101    0.000    0.000    0.000    0.000 /Users/ganesh/Library/Python/3.7/lib/python/site-packages/pandas/core/indexing.py:2350(need_slice)
      101    0.000    0.000    4.260    0.042 /Users/ganesh/Library/Python/3.7/lib/python/site-packages/pandas/core/internals/managers.py:674(to_native_types)
      101    0.001    0.000    0.005    0.000 /Users/ganesh/Library/Python/3.7/lib/python/site-packages/pandas/core/internals/managers.py:782(<listcomp>)
      101    0.001    0.000    0.011    0.000 /Users/ganesh/Library/Python/3.7/lib/python/site-packages/pandas/core/internals/managers.py:776(get_slice)
      101    0.002    0.000    1.725    0.017 /Users/ganesh/Library/Python/3.7/lib/python/site-packages/pandas/core/internals/blocks.py:2093(to_native_types)
      101    3.715    0.037    3.715    0.037 {pandas._libs.writers.write_csv_rows}
      101    0.022    0.000    0.043    0.000 /Users/ganesh/Library/Python/3.7/lib/python/site-packages/pandas/io/formats/format.py:1634(is_dates_only)
      101    0.000    0.000    0.043    0.000 /Users/ganesh/Library/Python/3.7/lib/python/site-packages/pandas/io/formats/format.py:1689(get_format_datetime64_from_values)
      101    0.000    0.000    0.000    0.000 /Users/ganesh/Library/Python/3.7/lib/python/site-packages/pandas/io/formats/csvs.py:182(nlevels)
      101    0.000    0.000    0.012    0.000 /Users/ganesh/Library/Python/3.7/lib/python/site-packages/pandas/io/formats/csvs.py:299(<listcomp>)
      101    0.005    0.000    8.847    0.088 /Users/ganesh/Library/Python/3.7/lib/python/site-packages/pandas/io/formats/csvs.py:293(_save_chunk)
      100    0.000    0.000    0.000    0.000 /Users/ganesh/Library/Python/3.7/lib/python/site-packages/pandas/core/internals/managers.py:1545(__init__)
       99    0.000    0.000    0.000    0.000 /Users/ganesh/Library/Python/3.7/lib/python/site-packages/pandas/core/internals/managers.py:1869(_shape_compat)
       99    0.102    0.001    0.138    0.001 /Users/ganesh/Library/Python/3.7/lib/python/site-packages/pandas/core/internals/managers.py:1860(_stack_arrays)
       98    0.000    0.000    0.002    0.000 /Users/ganesh/Library/Python/3.7/lib/python/site-packages/pandas/core/indexes/range.py:152(_data)
       98    0.000    0.000    0.000    0.000 /Users/ganesh/Library/Python/3.7/lib/python/site-packages/pandas/core/indexes/range.py:207(start)
       98    0.000    0.000    0.000    0.000 /Users/ganesh/Library/Python/3.7/lib/python/site-packages/pandas/core/indexes/range.py:230(stop)
       98    0.000    0.000    0.000    0.000 /Users/ganesh/Library/Python/3.7/lib/python/site-packages/pandas/core/indexes/range.py:253(step)
       98    0.000    0.000    0.000    0.000 /Users/ganesh/Library/Python/3.7/lib/python/site-packages/pandas/core/indexes/range.py:313(dtype)
       98    0.001    0.000    2.291    0.023 /Users/ganesh/Library/Python/3.7/lib/python/site-packages/pandas/core/internals/blocks.py:2224(to_native_types)
       96    0.000    0.000    0.000    0.000 /Users/ganesh/Library/Python/3.7/lib/python/site-packages/numpy/core/numerictypes.py:575(_can_coerce_all)
       96    0.001    0.000    0.002    0.000 /Users/ganesh/Library/Python/3.7/lib/python/site-packages/pandas/core/dtypes/concat.py:24(_get_dtype_kinds)
       96    0.000    0.000    0.000    0.000 /Users/ganesh/Library/Python/3.7/lib/python/site-packages/pandas/core/dtypes/concat.py:130(<listcomp>)
       96    0.000    0.000    0.000    0.000 /Users/ganesh/Library/Python/3.7/lib/python/site-packages/pandas/core/dtypes/concat.py:138(<setcomp>)
       96    0.001    0.000    0.187    0.002 /Users/ganesh/Library/Python/3.7/lib/python/site-packages/pandas/core/dtypes/concat.py:101(concat_compat)
       96    0.000    0.000    0.000    0.000 /Users/ganesh/Library/Python/3.7/lib/python/site-packages/pandas/core/internals/blocks.py:261(fill_value)
       95    0.000    0.000    0.000    0.000 /Applications/Xcode.app/Contents/Developer/Library/Frameworks/Python3.framework/Versions/3.7/lib/python3.7/typing.py:890(cast)
       94    0.000    0.000    0.000    0.000 /Users/ganesh/Library/Python/3.7/lib/python/site-packages/openpyxl/worksheet/pagebreak.py:46(__init__)
       90    0.000    0.000    0.000    0.000 /Users/ganesh/Library/Python/3.7/lib/python/site-packages/pandas/core/dtypes/common.py:157(ensure_python_int)
       90    0.000    0.000    0.000    0.000 /Users/ganesh/Library/Python/3.7/lib/python/site-packages/pandas/core/common.py:174(<genexpr>)
       90    0.000    0.000    0.000    0.000 /Users/ganesh/Library/Python/3.7/lib/python/site-packages/pandas/core/generic.py:569(ndim)
       90    0.000    0.000    0.000    0.000 /Users/ganesh/Library/Python/3.7/lib/python/site-packages/pandas/core/internals/managers.py:1695(<genexpr>)
       88    0.000    0.000    0.000    0.000 /Applications/Xcode.app/Contents/Developer/Library/Frameworks/Python3.framework/Versions/3.7/lib/python3.7/posixpath.py:41(_get_sep)
       88    0.000    0.000    0.003    0.000 /Users/ganesh/Library/Python/3.7/lib/python/site-packages/pandas/core/generic.py:4798(<genexpr>)
       87    0.000    0.000    0.000    0.000 /Users/ganesh/Library/Python/3.7/lib/python/site-packages/pandas/core/indexes/base.py:1281(_get_names)
       85    0.000    0.000    0.003    0.000 /Users/ganesh/Library/Python/3.7/lib/python/site-packages/openpyxl/utils/indexed_list.py:42(append)
       85    0.000    0.000    0.005    0.000 /Users/ganesh/Library/Python/3.7/lib/python/site-packages/openpyxl/utils/indexed_list.py:47(add)
       84    0.000    0.000    0.000    0.000 {method 'find' of 'str' objects}
       84    0.000    0.000    0.000    0.000 {built-in method builtins.chr}
       84    0.000    0.000    0.001    0.000 /Users/ganesh/Library/Python/3.7/lib/python/site-packages/numpy/core/_dtype.py:34(__str__)
       84    0.000    0.000    0.000    0.000 /Applications/Xcode.app/Contents/Developer/Library/Frameworks/Python3.framework/Versions/3.7/lib/python3.7/zipfile.py:339(__init__)
       84    0.000    0.000    0.000    0.000 /Applications/Xcode.app/Contents/Developer/Library/Frameworks/Python3.framework/Versions/3.7/lib/python3.7/zipfile.py:456(_decodeExtra)
       84    0.000    0.000    0.000    0.000 /Users/ganesh/Library/Python/3.7/lib/python/site-packages/pandas/io/parsers.py:2994(_check_comments)
       84    0.384    0.005    0.573    0.007 /Users/ganesh/Library/Python/3.7/lib/python/site-packages/pandas/io/parsers.py:3011(_remove_empty_lines)
       83    0.001    0.000    0.001    0.000 {method 'split' of 're.Pattern' objects}
       83    0.000    0.000    0.000    0.000 /Users/ganesh/Library/Python/3.7/lib/python/site-packages/pandas/core/generic.py:5443(<genexpr>)
       81    0.000    0.000    0.001    0.000 /Users/ganesh/Library/Python/3.7/lib/python/site-packages/pandas/core/dtypes/inference.py:263(is_dict_like)
       81    0.000    0.000    0.000    0.000 /Users/ganesh/Library/Python/3.7/lib/python/site-packages/pandas/core/arrays/_mixins.py:110(ndim)
       81    0.000    0.000    0.000    0.000 /Users/ganesh/Library/Python/3.7/lib/python/site-packages/pandas/core/indexes/base.py:623(dtype)
       81    0.000    0.000    0.000    0.000 /Users/ganesh/Library/Python/3.7/lib/python/site-packages/pandas/core/frame.py:628(axes)
       78    0.028    0.000    0.028    0.000 {pandas._libs.algos.take_2d_axis0_int64_int64}
       78    0.063    0.001    0.063    0.001 {pandas._libs.lib.infer_datetimelike_array}
       78    0.000    0.000    0.000    0.000 /Users/ganesh/Library/Python/3.7/lib/python/site-packages/pandas/core/internals/blocks.py:245(get_values)
       77    0.000    0.000    0.001    0.000 /Applications/Xcode.app/Contents/Developer/Library/Frameworks/Python3.framework/Versions/3.7/lib/python3.7/distutils/version.py:302(__init__)
       77    0.000    0.000    0.000    0.000 /Applications/Xcode.app/Contents/Developer/Library/Frameworks/Python3.framework/Versions/3.7/lib/python3.7/distutils/version.py:312(<listcomp>)
       77    0.001    0.000    0.001    0.000 /Applications/Xcode.app/Contents/Developer/Library/Frameworks/Python3.framework/Versions/3.7/lib/python3.7/distutils/version.py:307(parse)
       75    0.000    0.000    0.000    0.000 /Users/ganesh/Library/Python/3.7/lib/python/site-packages/openpyxl/styles/colors.py:131(__set__)
       74    0.000    0.000    0.005    0.000 /Users/ganesh/Library/Python/3.7/lib/python/site-packages/pandas/core/internals/managers.py:1577(from_array)
       72    0.000    0.000    0.000    0.000 /Applications/Xcode.app/Contents/Developer/Library/Frameworks/Python3.framework/Versions/3.7/lib/python3.7/re.py:170(match)
       72    0.000    0.000    0.000    0.000 {built-in method numpy.datetime_data}
       72    0.000    0.000    0.000    0.000 /Users/ganesh/Library/Python/3.7/lib/python/site-packages/numpy/core/_dtype.py:178(_datetime_metadata_str)
       72    0.000    0.000    0.000    0.000 /Users/ganesh/Library/Python/3.7/lib/python/site-packages/numpy/core/_asarray.py:110(asanyarray)
       72    0.088    0.001    0.157    0.002 /Users/ganesh/Library/Python/3.7/lib/python/site-packages/pandas/core/internals/managers.py:1923(_merge_blocks)
       72    0.000    0.000    0.000    0.000 /Users/ganesh/Library/Python/3.7/lib/python/site-packages/pandas/io/parsers.py:1093(_is_index_col)
       72    0.000    0.000    0.001    0.000 /Users/ganesh/Library/Python/3.7/lib/python/site-packages/pandas/io/parsers.py:1097(_is_potential_multi_index)
       70    0.000    0.000    0.000    0.000 /Users/ganesh/Library/Python/3.7/lib/python/site-packages/openpyxl/styles/cell_style.py:52(__new__)
       69    0.001    0.000    0.002    0.000 /Users/ganesh/Library/Python/3.7/lib/python/site-packages/pandas/core/internals/managers.py:318(_verify_integrity)
       69    0.000    0.000    0.000    0.000 /Users/ganesh/Library/Python/3.7/lib/python/site-packages/pandas/core/internals/managers.py:690(<listcomp>)
       69    0.000    0.000    0.001    0.000 /Users/ganesh/Library/Python/3.7/lib/python/site-packages/pandas/core/internals/managers.py:689(_consolidate_check)
       66    0.000    0.000    0.000    0.000 {built-in method numpy.seterrobj}
       66    0.000    0.000    0.001    0.000 /Users/ganesh/Library/Python/3.7/lib/python/site-packages/numpy/core/_ufunc_config.py:32(seterr)
       66    0.000    0.000    0.000    0.000 /Users/ganesh/Library/Python/3.7/lib/python/site-packages/numpy/core/_ufunc_config.py:132(geterr)
       66    0.000    0.000    0.000    0.000 /Users/ganesh/Library/Python/3.7/lib/python/site-packages/openpyxl/styles/cell_style.py:56(__hash__)
       66    0.000    0.000    0.003    0.000 /Users/ganesh/Library/Python/3.7/lib/python/site-packages/openpyxl/styles/cell_style.py:93(__init__)
       64    0.000    0.000    0.000    0.000 /Users/ganesh/Library/Python/3.7/lib/python/site-packages/pandas/core/dtypes/dtypes.py:277(construct_from_string)
       64    0.000    0.000    0.000    0.000 /Users/ganesh/Library/Python/3.7/lib/python/site-packages/pandas/core/dtypes/dtypes.py:711(construct_from_string)
       64    0.000    0.000    0.000    0.000 /Users/ganesh/Library/Python/3.7/lib/python/site-packages/pandas/core/dtypes/dtypes.py:870(construct_from_string)
       64    0.000    0.000    0.000    0.000 /Users/ganesh/Library/Python/3.7/lib/python/site-packages/pandas/core/dtypes/dtypes.py:1078(construct_from_string)
       64    0.000    0.000    0.000    0.000 /Users/ganesh/Library/Python/3.7/lib/python/site-packages/pandas/core/arrays/sparse/dtype.py:187(construct_from_string)
       64    0.000    0.000    0.001    0.000 /Users/ganesh/Library/Python/3.7/lib/python/site-packages/pandas/core/internals/blocks.py:288(make_block_same_class)
       64    0.000    0.000    0.000    0.000 /Users/ganesh/Library/Python/3.7/lib/python/site-packages/pandas/core/internals/managers.py:1634(is_consolidated)
       64    0.000    0.000    0.000    0.000 /Users/ganesh/Library/Python/3.7/lib/python/site-packages/openpyxl/styles/numbers.py:112(is_timedelta_format)
       64    0.000    0.000    0.001    0.000 /Users/ganesh/Library/Python/3.7/lib/python/site-packages/openpyxl/styles/cell_style.py:126(to_array)
       63    0.000    0.000    0.000    0.000 /Users/ganesh/Library/Python/3.7/lib/python/site-packages/pandas/core/common.py:160(<genexpr>)
       63    0.001    0.000    0.001    0.000 {pandas._libs.ops.maybe_convert_bool}
       63    0.000    0.000    0.000    0.000 /Applications/Xcode.app/Contents/Developer/Library/Frameworks/Python3.framework/Versions/3.7/lib/python3.7/zipfile.py:1915(_fpclose)
       63    0.000    0.000    0.000    0.000 /Users/ganesh/Library/Python/3.7/lib/python/site-packages/pandas/io/parsers.py:2253(<lambda>)
       63    0.000    0.000    0.000    0.000 /Users/ganesh/Library/Python/3.7/lib/python/site-packages/pandas/io/parsers.py:2879(_next_line)
       63    0.363    0.006    0.363    0.006 {pandas._libs.parsers.sanitize_objects}
       60    0.000    0.000    0.000    0.000 {method 'keys' of 'dict' objects}
       60    0.000    0.000    0.162    0.003 /Users/ganesh/Library/Python/3.7/lib/python/site-packages/pandas/core/internals/managers.py:991(_consolidate_inplace)
       60    0.000    0.000    0.000    0.000 /Users/ganesh/Library/Python/3.7/lib/python/site-packages/pandas/core/reshape/concat.py:588(<genexpr>)
       59    0.000    0.000    0.000    0.000 {function ZipExtFile.close at 0x110e4bbf8}
       59    0.000    0.000    0.000    0.000 {method 'seekable' of '_io.BufferedReader' objects}
       59    0.000    0.000    0.000    0.000 {built-in method zlib.decompressobj}
       59    0.000    0.000    0.000    0.000 /Users/ganesh/Library/Python/3.7/lib/python/site-packages/pandas/core/base.py:397(ndim)
       59    0.000    0.000    0.000    0.000 /Users/ganesh/Library/Python/3.7/lib/python/site-packages/pandas/core/internals/blocks.py:308(__len__)
       59    0.000    0.000    0.000    0.000 /Applications/Xcode.app/Contents/Developer/Library/Frameworks/Python3.framework/Versions/3.7/lib/python3.7/zipfile.py:698(_get_decompressor)
       59    0.000    0.000    0.000    0.000 /Applications/Xcode.app/Contents/Developer/Library/Frameworks/Python3.framework/Versions/3.7/lib/python3.7/zipfile.py:716(__init__)
       59    0.000    0.000    0.000    0.000 /Applications/Xcode.app/Contents/Developer/Library/Frameworks/Python3.framework/Versions/3.7/lib/python3.7/zipfile.py:746(close)
       59    0.001    0.000    0.001    0.000 /Applications/Xcode.app/Contents/Developer/Library/Frameworks/Python3.framework/Versions/3.7/lib/python3.7/zipfile.py:787(__init__)
       59    0.000    0.000    0.001    0.000 /Applications/Xcode.app/Contents/Developer/Library/Frameworks/Python3.framework/Versions/3.7/lib/python3.7/zipfile.py:1008(close)
       59    0.000    0.000    0.000    0.000 /Applications/Xcode.app/Contents/Developer/Library/Frameworks/Python3.framework/Versions/3.7/lib/python3.7/zipfile.py:1390(getinfo)
       59    0.001    0.000    0.035    0.001 /Applications/Xcode.app/Contents/Developer/Library/Frameworks/Python3.framework/Versions/3.7/lib/python3.7/zipfile.py:1431(open)
       58    0.000    0.000    0.000    0.000 /Users/ganesh/Library/Python/3.7/lib/python/site-packages/openpyxl/descriptors/nested.py:38(from_tree)
       57    0.000    0.000    0.000    0.000 /Applications/Xcode.app/Contents/Developer/Library/Frameworks/Python3.framework/Versions/3.7/lib/python3.7/posixpath.py:75(join)
       57    0.000    0.000    0.000    0.000 {built-in method pyexpat.ParserCreate}
       57    0.000    0.000    0.002    0.000 /Users/ganesh/Library/Python/3.7/lib/python/site-packages/defusedxml/ElementTree.py:80(__init__)
       57    0.001    0.000    0.002    0.000 /Applications/Xcode.app/Contents/Developer/Library/Frameworks/Python3.framework/Versions/3.7/lib/python3.7/xml/etree/ElementTree.py:1448(__init__)
       56    0.000    0.000    0.000    0.000 /Users/ganesh/Library/Python/3.7/lib/python/site-packages/pandas/core/internals/concat.py:501(_is_uniform_reindex)
       56    0.000    0.000    0.071    0.001 /Users/ganesh/Library/Python/3.7/lib/python/site-packages/pandas/core/internals/concat.py:314(<listcomp>)
       56    0.001    0.000    0.136    0.002 /Users/ganesh/Library/Python/3.7/lib/python/site-packages/pandas/core/internals/concat.py:303(_concatenate_join_units)
       56    0.001    0.000    0.009    0.000 /Users/ganesh/Library/Python/3.7/lib/python/site-packages/pandas/core/internals/concat.py:348(_get_empty_dtype_and_na)
       56    0.000    0.000    0.005    0.000 /Users/ganesh/Library/Python/3.7/lib/python/site-packages/pandas/core/internals/concat.py:425(_get_upcast_classes)
       56    0.000    0.000    0.000    0.000 /Users/ganesh/Library/Python/3.7/lib/python/site-packages/openpyxl/utils/cell.py:105(get_column_letter)
       56    0.000    0.000    0.000    0.000 /Users/ganesh/Library/Python/3.7/lib/python/site-packages/openpyxl/worksheet/_reader.py:258(parse_column_dimensions)
       56    0.000    0.000    0.000    0.000 /Users/ganesh/Library/Python/3.7/lib/python/site-packages/openpyxl/styles/named_styles.py:76(__setattr__)
       55    0.000    0.000    0.000    0.000 /Users/ganesh/Library/Python/3.7/lib/python/site-packages/pandas/core/indexes/base.py:4230(__contains__)
       54    0.000    0.000    0.000    0.000 /Users/ganesh/Library/Python/3.7/lib/python/site-packages/pandas/core/generic.py:340(_validate_dtype)
       54    0.000    0.000    0.000    0.000 /Users/ganesh/Library/Python/3.7/lib/python/site-packages/pandas/core/internals/blocks.py:2240(_maybe_coerce_values)
       54    0.000    0.000    0.000    0.000 /Users/ganesh/Library/Python/3.7/lib/python/site-packages/openpyxl/styles/numbers.py:144(builtin_format_code)
       52    0.000    0.000    0.000    0.000 /Users/ganesh/Library/Python/3.7/lib/python/site-packages/openpyxl/styles/colors.py:105(__iter__)
       51    0.001    0.000    0.056    0.001 /Users/ganesh/Library/Python/3.7/lib/python/site-packages/pandas/core/internals/managers.py:1844(_multi_blockify)
       51    0.000    0.000    0.002    0.000 /Users/ganesh/Library/Python/3.7/lib/python/site-packages/openpyxl/styles/alignment.py:45(__init__)
       50    0.000    0.000    0.015    0.000 /Users/ganesh/Library/Python/3.7/lib/python/site-packages/pandas/core/dtypes/missing.py:638(<lambda>)
       48    0.000    0.000    0.000    0.000 /Users/ganesh/Library/Python/3.7/lib/python/site-packages/numpy/core/numerictypes.py:651(<listcomp>)
       48    0.000    0.000    0.000    0.000 /Users/ganesh/Library/Python/3.7/lib/python/site-packages/numpy/core/numerictypes.py:652(<listcomp>)
       48    0.000    0.000    0.000    0.000 /Users/ganesh/Library/Python/3.7/lib/python/site-packages/numpy/core/numerictypes.py:599(find_common_type)
       48    0.000    0.000    0.001    0.000 /Applications/Xcode.app/Contents/Developer/Library/Frameworks/Python3.framework/Versions/3.7/lib/python3.7/distutils/version.py:331(_cmp)
       48    0.000    0.000    0.000    0.000 /Users/ganesh/Library/Python/3.7/lib/python/site-packages/pandas/_config/config.py:569(_get_deprecated_option)
       48    0.001    0.000    0.003    0.000 {pandas._libs.lib.clean_index_list}
       48    0.000    0.000    0.000    0.000 /Users/ganesh/Library/Python/3.7/lib/python/site-packages/pandas/compat/numpy/function.py:45(__call__)
       48    0.000    0.000    0.000    0.000 /Users/ganesh/Library/Python/3.7/lib/python/site-packages/pandas/core/indexes/numeric.py:78(_validate_dtype)
       48    0.000    0.000    0.093    0.002 /Users/ganesh/Library/Python/3.7/lib/python/site-packages/pandas/core/internals/managers.py:1829(_simple_blockify)
       48    0.000    0.000    0.000    0.000 /Users/ganesh/Library/Python/3.7/lib/python/site-packages/pandas/core/internals/concat.py:70(<listcomp>)
       48    0.000    0.000    0.000    0.000 /Users/ganesh/Library/Python/3.7/lib/python/site-packages/openpyxl/utils/cell.py:115(column_index_from_string)
       47    0.000    0.000    0.002    0.000 {built-in method builtins.__build_class__}
       47    0.000    0.000    0.002    0.000 {built-in method builtins.sorted}
       47    0.000    0.000    0.000    0.000 {built-in method _abc._abc_init}
       47    0.000    0.000    0.002    0.000 /Applications/Xcode.app/Contents/Developer/Library/Frameworks/Python3.framework/Versions/3.7/lib/python3.7/abc.py:125(__new__)
       47    0.000    0.000    0.000    0.000 /Applications/Xcode.app/Contents/Developer/Library/Frameworks/Python3.framework/Versions/3.7/lib/python3.7/_collections_abc.py:270(__iter__)
       47    0.000    0.000    0.000    0.000 /Users/ganesh/Library/Python/3.7/lib/python/site-packages/pandas/core/common.py:254(maybe_iterable_to_list)
       47    0.000    0.000    0.000    0.000 /Users/ganesh/Library/Python/3.7/lib/python/site-packages/pandas/core/series.py:422(_constructor)
       47    0.000    0.000    0.005    0.000 /Users/ganesh/Library/Python/3.7/lib/python/site-packages/defusedxml/common.py:102(iterparse)
       47    0.000    0.000    0.000    0.000 /Applications/Xcode.app/Contents/Developer/Library/Frameworks/Python3.framework/Versions/3.7/lib/python3.7/xml/etree/ElementTree.py:1235(IterParseIterator)
       47    0.000    0.000    0.003    0.000 /Applications/Xcode.app/Contents/Developer/Library/Frameworks/Python3.framework/Versions/3.7/lib/python3.7/xml/etree/ElementTree.py:1201(iterparse)
