
         540712248 function calls (540708138 primitive calls) in 379.315 seconds

   Ordered by: call count

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
  1250064    1.324    0.000    2.273    0.000 /Users/ganesh/Library/Python/3.7/lib/python/site-packages/openpyxl/worksheet/_reader.py:281(<setcomp>)
  1250064    4.489    0.000   72.056    0.000 /Users/ganesh/Library/Python/3.7/lib/python/site-packages/openpyxl/worksheet/_reader.py:286(<listcomp>)
  1250064    5.581    0.000   79.910    0.000 /Users/ganesh/Library/Python/3.7/lib/python/site-packages/openpyxl/worksheet/_reader.py:265(parse_row)
  1250043    0.842    0.000    0.842    0.000 {built-in method builtins.divmod}
  1250043    0.705    0.000    0.705    0.000 {built-in method builtins.round}
  1250043    7.653    0.000    9.201    0.000 /Users/ganesh/Library/Python/3.7/lib/python/site-packages/openpyxl/utils/datetime.py:103(from_excel)
151552/150529    0.026    0.000    0.034    0.000 {built-in method builtins.getattr}
   101377    0.031    0.000    0.031    0.000 /Users/ganesh/Library/Python/3.7/lib/python/site-packages/openpyxl/descriptors/base.py:23(__set__)
    71367    0.023    0.000    0.034    0.000 /Users/ganesh/Library/Python/3.7/lib/python/site-packages/openpyxl/descriptors/base.py:229(__get__)
    52745    0.053    0.000    0.083    0.000 /Users/ganesh/Library/Python/3.7/lib/python/site-packages/openpyxl/descriptors/base.py:38(__set__)
    47802    0.008    0.000    0.008    0.000 /Users/ganesh/Library/Python/3.7/lib/python/site-packages/openpyxl/descriptors/sequence.py:26(<listcomp>)
    47802    0.071    0.000    0.101    0.000 /Users/ganesh/Library/Python/3.7/lib/python/site-packages/openpyxl/descriptors/sequence.py:23(__set__)
    40501    0.314    0.000    1.042    0.000 {built-in method builtins.max}
32118/32115    0.013    0.000    0.019    0.000 /Users/ganesh/Library/Python/3.7/lib/python/site-packages/pandas/core/dtypes/generic.py:30(_check)
    26793    0.032    0.000    0.084    0.000 /Users/ganesh/Library/Python/3.7/lib/python/site-packages/openpyxl/descriptors/base.py:64(__set__)
    25522    0.009    0.000    0.012    0.000 /Users/ganesh/Library/Python/3.7/lib/python/site-packages/openpyxl/descriptors/base.py:49(_convert)
    25323    0.065    0.000    0.065    0.000 {built-in method zlib.crc32}
    25295   35.161    0.001  112.963    0.004 {method 'Parse' of 'pyexpat.xmlparser' objects}
    25287    0.134    0.000    2.348    0.000 /Applications/Xcode.app/Contents/Developer/Library/Frameworks/Python3.framework/Versions/3.7/lib/python3.7/zipfile.py:876(read)
    25264    1.144    0.000    1.144    0.000 {method 'decompress' of 'zlib.Decompress' objects}
    25264    0.040    0.000    0.105    0.000 /Applications/Xcode.app/Contents/Developer/Library/Frameworks/Python3.framework/Versions/3.7/lib/python3.7/zipfile.py:909(_update_crc)
    25264    0.276    0.000    2.194    0.000 /Applications/Xcode.app/Contents/Developer/Library/Frameworks/Python3.framework/Versions/3.7/lib/python3.7/zipfile.py:956(_read1)
    25262    0.064    0.000  113.026    0.004 /Applications/Xcode.app/Contents/Developer/Library/Frameworks/Python3.framework/Versions/3.7/lib/python3.7/xml/etree/ElementTree.py:1627(feed)
    25252    0.046    0.000  113.067    0.004 /Applications/Xcode.app/Contents/Developer/Library/Frameworks/Python3.framework/Versions/3.7/lib/python3.7/xml/etree/ElementTree.py:1263(feed)
    24867    0.004    0.000    0.004    0.000 {built-in method builtins.callable}
    24323    0.027    0.000    0.027    0.000 {method 'match' of 're.Pattern' objects}
24227/23866    0.111    0.000    0.518    0.000 /Users/ganesh/Library/Python/3.7/lib/python/site-packages/openpyxl/descriptors/serialisable.py:46(from_tree)
    24184    0.028    0.000    0.109    0.000 /Users/ganesh/Library/Python/3.7/lib/python/site-packages/openpyxl/descriptors/nested.py:28(__set__)
    24159    0.007    0.000    0.007    0.000 {method 'group' of 're.Match' objects}
    24159    0.023    0.000    0.060    0.000 /Users/ganesh/Library/Python/3.7/lib/python/site-packages/openpyxl/xml/functions.py:75(localname)
    23799    0.007    0.000    0.007    0.000 {method 'replace' of 'str' objects}
    23799    0.004    0.000    0.004    0.000 {method 'join' of 'str' objects}
    23752    0.005    0.000    0.005    0.000 /Users/ganesh/Library/Python/3.7/lib/python/site-packages/openpyxl/descriptors/nested.py:64(from_tree)
    23744    0.046    0.000    0.292    0.000 /Users/ganesh/Library/Python/3.7/lib/python/site-packages/openpyxl/cell/text.py:161(__init__)
    23744    0.040    0.000    0.081    0.000 /Users/ganesh/Library/Python/3.7/lib/python/site-packages/openpyxl/cell/text.py:173(content)
    20226    0.004    0.000    0.004    0.000 {built-in method builtins.issubclass}
    15195    0.145    0.000    0.518    0.000 {built-in method builtins.min}
    15164    0.044    0.000    0.044    0.000 {method 'tell' of '_io.BufferedReader' objects}
    15134    0.069    0.000    0.637    0.000 /Applications/Xcode.app/Contents/Developer/Library/Frameworks/Python3.framework/Versions/3.7/lib/python3.7/zipfile.py:992(_read2)
    15123    0.030    0.000    0.030    0.000 {method 'seek' of '_io.BufferedReader' objects}
    15115    0.379    0.000    0.379    0.000 {method 'read' of '_io.BufferedReader' objects}
    15101    0.113    0.000    0.574    0.000 /Applications/Xcode.app/Contents/Developer/Library/Frameworks/Python3.framework/Versions/3.7/lib/python3.7/zipfile.py:735(read)
    15101    0.011    0.000    0.011    0.000 /Applications/Xcode.app/Contents/Developer/Library/Frameworks/Python3.framework/Versions/3.7/lib/python3.7/zipfile.py:1480(<lambda>)
     7679    0.007    0.000    0.032    0.000 /Users/ganesh/Library/Python/3.7/lib/python/site-packages/pandas/core/dtypes/base.py:254(is_dtype)
     5134    0.007    0.000    0.011    0.000 /Users/ganesh/Library/Python/3.7/lib/python/site-packages/pandas/core/dtypes/base.py:411(find)
     5043    0.008    0.000    0.018    0.000 /Users/ganesh/Library/Python/3.7/lib/python/site-packages/pandas/core/dtypes/common.py:1470(is_extension_array_dtype)
     4152    0.005    0.000    0.009    0.000 /Users/ganesh/Library/Python/3.7/lib/python/site-packages/pandas/core/dtypes/common.py:1610(_is_dtype_type)
     3551    0.001    0.000    0.001    0.000 /Users/ganesh/Library/Python/3.7/lib/python/site-packages/pandas/core/internals/blocks.py:265(mgr_locs)
     2847    0.001    0.000    0.002    0.000 /Users/ganesh/Library/Python/3.7/lib/python/site-packages/pandas/core/dtypes/common.py:187(<lambda>)
     2847    0.001    0.000    0.001    0.000 /Users/ganesh/Library/Python/3.7/lib/python/site-packages/pandas/core/dtypes/common.py:185(classes)
     2736    0.004    0.000    0.019    0.000 /Users/ganesh/Library/Python/3.7/lib/python/site-packages/pandas/core/dtypes/common.py:537(is_categorical_dtype)
2354/2250    0.275    0.000    0.275    0.000 {built-in method numpy.array}
     2329    0.002    0.000    0.005    0.000 /Users/ganesh/Library/Python/3.7/lib/python/site-packages/pandas/core/dtypes/common.py:1575(get_dtype)
     2132    0.003    0.000    0.014    0.000 /Users/ganesh/Library/Python/3.7/lib/python/site-packages/pandas/core/dtypes/common.py:463(is_period_dtype)
     1976    0.000    0.000    0.000    0.000 /Users/ganesh/Library/Python/3.7/lib/python/site-packages/pandas/core/arrays/datetimes.py:487(dtype)
     1953    0.003    0.000    0.013    0.000 /Users/ganesh/Library/Python/3.7/lib/python/site-packages/pandas/core/dtypes/common.py:499(is_interval_dtype)
     1898    0.003    0.000    0.011    0.000 /Users/ganesh/Library/Python/3.7/lib/python/site-packages/pandas/core/dtypes/dtypes.py:923(is_dtype)
     1737    0.002    0.000    0.002    0.000 {built-in method __new__ of type object at 0x105f5fec0}
1716/1552    0.001    0.000    0.001    0.000 {built-in method builtins.hash}
     1716    0.004    0.000    0.010    0.000 /Users/ganesh/Library/Python/3.7/lib/python/site-packages/pandas/core/dtypes/dtypes.py:1132(is_dtype)
     1676    0.003    0.000    0.007    0.000 /Users/ganesh/Library/Python/3.7/lib/python/site-packages/pandas/core/dtypes/common.py:201(is_object_dtype)
     1676    0.002    0.000    0.014    0.000 /Users/ganesh/Library/Python/3.7/lib/python/site-packages/pandas/core/dtypes/common.py:1551(_is_dtype)
     1580    0.001    0.000    0.001    0.000 {pandas._libs.lib.is_scalar}
     1566    0.002    0.000    0.008    0.000 /Users/ganesh/Library/Python/3.7/lib/python/site-packages/pandas/core/dtypes/common.py:388(is_datetime64tz_dtype)
